Location Name,Location Thumbnail Url
Amelie's Lab Maze,![Amelie's Lab Maze](https://static.wikia.nocookie.net/nexomon/images/4/43/Amelies_Lab_Room_1.png/revision/latest/smart/width/40/height/30?cb=20240325153339)
Amelie's Lab Outside,![Amelie's Lab Outside](https://static.wikia.nocookie.net/nexomon/images/0/06/Amelie%27s_Lab_Outside.png/revision/latest/smart/width/40/height/30?cb=20240325145741)
Artist Area,![Artist Area](https://static.wikia.nocookie.net/nexomon/images/6/6e/Artist_Area.png/revision/latest/smart/width/40/height/30?cb=20231117185654)
Bedam Powerplant,![Bedam Powerplant](https://static.wikia.nocookie.net/nexomon/images/3/3d/Bedam_Powerplant.png/revision/latest/smart/width/40/height/30?cb=20231126201653)
Bridge to Nexolord's Tower,![Bridge to Nexolord's Tower](https://static.wikia.nocookie.net/nexomon/images/2/27/Bridge_to_Nexolord%27s_Tower.png/revision/latest/smart/width/40/height/30?cb=20231127232631)
Burnt House,![Burnt House](https://static.wikia.nocookie.net/nexomon/images/3/3a/Burnt_House.png/revision/latest/smart/width/40/height/30?cb=20231117185955)
Cadium (lab) Submarine Dock,![Cadium (lab) Submarine Dock](https://static.wikia.nocookie.net/nexomon/images/a/ae/Cadium_%28lab%29_Submarine_Dock.png/revision/latest/smart/width/40/height/30?cb=20240325155926)
Cadium (lab) Warpstone,![Cadium (lab) Warpstone](https://static.wikia.nocookie.net/nexomon/images/4/40/Cadium_%28lab%29_Warpstone.png/revision/latest/smart/width/40/height/30?cb=20240325155527)
Cadium (lab) Warpstone North,![Cadium (lab) Warpstone North](https://static.wikia.nocookie.net/nexomon/images/0/02/Cadium_%28lab%29_Warpstone_North.png/revision/latest/smart/width/40/height/30?cb=20240325160830)
Cadium Center,![Cadium Center](https://static.wikia.nocookie.net/nexomon/images/0/06/Cadium_Center.png/revision/latest/smart/width/40/height/30?cb=20240325142245)
Cadium Control Room,![Cadium Control Room](https://static.wikia.nocookie.net/nexomon/images/e/e1/Cadium_Control_Room.png/revision/latest/smart/width/40/height/30?cb=20240325143545)
Cadium East,![Cadium East](https://static.wikia.nocookie.net/nexomon/images/b/bd/Cadium_East.png/revision/latest/smart/width/40/height/30?cb=20240325143418)
Cadium Generator Room 1,![Cadium Generator Room 1](https://static.wikia.nocookie.net/nexomon/images/3/34/Cadium_Generator_Room_1.png/revision/latest/smart/width/40/height/30?cb=20240325143955)
Cadium Generator Room 2,![Cadium Generator Room 2](https://static.wikia.nocookie.net/nexomon/images/2/2a/Cadium_Generator_Room_2.png/revision/latest/smart/width/40/height/30?cb=20240325144129)
Cadium Generator Room 3,![Cadium Generator Room 3](https://static.wikia.nocookie.net/nexomon/images/3/30/Cadium_Generator_Room_3.png/revision/latest/smart/width/40/height/30?cb=20240325144928)
